Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-04-28,29.7232,30.1461,28.9362,29.7526,2257700.6475463
2022-04-29,29.546,30.3427,29.1822,29.2806,1747072.2267325
2022-05-02,29.3887,30.1756,29.0346,29.8806,2742261.4820382
2022-05-03,29.8903,30.4116,29.0936,29.3789,2674441.4287753
2022-05-04,29.556,30.333,28.2773,30.1953,3088945.4343925
2022-05-05,30.2739,30.2739,27.4216,28.6511,3896264.8559229
2022-05-06,28.7199,28.7199,27.7068,28.6608,4257113.6981965
2022-05-09,27.9527,28.9166,26.6544,26.8216,2762605.9729428
2022-05-10,27.3429,27.9577,24.9331,25.3562,3410751.3583638
2022-05-11,25.3462,25.5725,23.989,24.9725,4097919.3277632
2022-05-12,24.9135,28.3757,24.8151,28.297,2464350.2460141
2022-05-13,28.2773,29.2117,28.179,28.6019,1995494.6264649
2022-05-16,28.5428,29.2412,28.2724,28.3265,1513007.8929949
2022-05-17,28.4839,29.133,27.8937,28.6608,1321354.8582874
2022-05-18,28.3167,29.4674,28.1986,28.6511,1106821.6425047
2022-05-19,28.5331,30.4412,28.297,29.5757,2530301.5749251
2022-05-20,29.9216,30.1786,28.8046,29.4175,793395.30365165
2022-05-23,29.5163,29.6053,28.4339,28.854,657338.23123665
2022-05-24,28.1127,28.1127,26.0467,27.2428,1561338.6448308
2022-05-25,27.045,27.6876,26.887,27.6381,638898.98802402
2022-05-26,27.7173,28.9034,27.48,28.6068,806132.91879897
2022-05-27,28.6564,29.5855,28.2955,29.3779,1552961.2172211
2022-05-31,29.3779,29.7041,28.7106,29.3483,970917.65838405
2022-06-01,29.6151,29.7931,28.5674,28.9924,1142996.3543834
2022-06-02,28.8144,30.406,28.6366,30.06,784787.22110948
2022-06-03,30.1193,30.1292,28.9528,29.0814,567449.57614178
2022-06-06,29.2,29.2197,28.1127,28.3202,870847.81364241
2022-06-07,28.0237,28.6464,27.8072,28.3499,828131.12715243
2022-06-08,28.1917,29.2099,28.1818,28.3796,1083770.6422728
2022-06-09,28.083,28.3993,27.7765,27.9249,1292487.0533206
2022-06-10,27.5591,27.5987,26.7337,27.0945,535762.84898396
2022-06-13,26.2741,26.5113,25.4338,25.7501,1067506.4346068
